Note,Scale,I,II,III,IV,V,VI,VII
C,Major,C,Dm,Em,F,G,Am,Bdim
C,Minor,Cm,Ddim,Eb,Fm,Gm,Ab,Bb
C,Harmonic,Cm,Ddim,Eb+,Fm,G,Ab,Bdim
C,Melodic,Cm,Dm,Eb+,F,G,Adim,Bdim
C#/Db,Major,C#/Db,D#m/Ebm,E#m/Fm,F#/Gb,G#/Ab,A#m/Bbm,B#dim/Cdim
C#/Db,Minor,C#m/Dbm,D#dim/Ebdim,E/Fb,F#m/Gbm,G#m/Abm,A/Bbb,B/Cb
C#/Db,Harmonic,C#m/Dbm,D#dim/Ebdim,E+/Fb+,F#m/Gbm,G#/Ab,A/Bbb,B#dim/Cdim
C#/Db,Melodic,C#m/Dbm,D#m/Ebm,E+/Fb+,F#/Gb,G#/Ab,A#dim/Bbdim,B#dim/Cdim
D,Major,D,Em,F#m,G,A,Bm,C#dim
D,Minor,Dm,Edim,F,Gm,Am,Bb,C
D,Harmonic,Dm,Edim,F+,Gm,A,Bb,C#dim
D,Melodic,Dm,Em,F+,G,A,Bdim,C#dim
D#/Eb,Major,Eb,Fm,Gm,Ab,Bb,Cm,Ddim
D#/Eb,Minor,Ebm,Fdim,Gb,Abm,Bbm,Cb,Db
D#/Eb,Harmonic,Ebm,Fdim,Gb+,Abm,Bb,Cb,Ddim
D#/Eb,Melodic,Ebm,Fm,Gb+,Ab,Bb,Cdim,Ddim
E,Major,E,F#m,G#m,A,B,C#m,D#dim
E,Minor,Em,F#dim,G,Am,Bm,C,D
E,Harmonic,Em,F#dim,G+,Am,B,C,D#dim
E,Melodic,Em,F#m,G+,A,B,C#dim,D#dim
F,Major,F,Gm,Am,Bb,C,Dm,Edim
F,Minor,Fm,Gdim,Ab,Bbm,Cm,Db,Eb
F,Harmonic,Fm,Gdim,Ab+,Bbm,C,Db,Edim
F,Melodic,Fm,Gm,Ab+,Bb,C,Ddim,Edim
F#/Gb,Major,F#/Gb,G#m/Abm,A#m/Bbm,B/Cb,C#/Db,D#m/Ebm,E#dim/Fdim
F#/Gb,Minor,F#m,G#dim,A,Bm,C#m,D,E
F#/Gb,Harmonic,F#m,G#dim,A+,Bm,C#,D,E#dim
F#/Gb,Melodic,F#m,G#m,A+,B,C#,D#dim,E#dim
G,Major,G,Am,Bm,C,D,Em,F#dim
G,Minor,Gm,Adim,Bb,Cm,Dm,Eb,F
G,Harmonic,Gm,Adim,Bb+,Cm,D,Eb,F#dim
G,Melodic,Gm,Am,Bb+,C,D,Edim,F#dim
G#/Ab,Major,G#/Ab,A#m/Bbm,B#m/Cm,C#/Db,D#/Eb,E#m/Fm,F##dim/Gdim
G#/Ab,Minor,G#m/Abm,A#dim/Bbdim,B/Cb,C#m/Dbm,D#m/Ebm,E/Fb,F#/Gb
G#/Ab,Harmonic,G#m/Abm,A#dim/Bbdim,B+/Cb+,C#m/Dbm,D#/Eb,E/Fb,F##dim/Gdim
G#/Ab,Melodic,G#m/Abm,A#m/Bbm,B+/Cb+,C#/Db,D#/Eb,E#dim/Fdim,F##dim/Gdim
A,Major,A,Bm,C#m,D,E,F#m,G#dim
A,Minor,Am,Bdim,C,Dm,Em,F,G
A,Harmonic,Am,Bdim,C+,Dm,E,F,G#dim
A,Melodic,Am,Bm,C+,D,E,F#dim,G#dim
A#/Bb,Major,Bb,Cm,Dm,Eb,F,Gm,Adim
A#/Bb,Minor,Bbm,Cdim,Db,Ebm,Fm,Gb,Ab
A#/Bb,Harmonic,Bbm,Cdim,Db+,Ebm,F,Gb,Adim
A#/Bb,Melodic,Bbm,Cm,Db+,Eb,F,Gdim,Adim
B,Major,B,C#m,D#m,E,F#,G#m,A#dim
B,Minor,Bm,C#dim,D,Em,F#m,G,A
B,Harmonic,Bm,C#dim,D+,Em,F#,G,A#dim
B,Melodic,Bm,C#m,D+,E,F#,Gdim,A#dim
